Section,XPath,Source_Code,Source_CodeSystem_OID,Source_Vocabulary,Source_DisplayName,OMOP_Concept_ID,OMOP_Concept_Name,OMOP_Domain_ID,OMOP_Vocabulary_ID,Is_Standard,Mapping_Status
Problems,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.5.1']/entry/act/entryRelationship/observation[1]/value[1],64109004,2.16.840.1.113883.6.96,SNOMED,Costal Chondritis,4272340,Costal chondritis,Condition,SNOMED,true,mapped
Problems,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.5.1']/entry/act/entryRelationship/observation[2]/value[1],195967001,2.16.840.1.113883.6.96,SNOMED,Asthma,317009,Asthma,Condition,SNOMED,true,mapped
Medications,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.1.1']/entry/substanceAdministration[1]/consumable/manufacturedProduct/manufacturedMaterial/code[1],573621,2.16.840.1.113883.6.88,RxNorm,Albuterol 0.09 MG/ACTUAT,19044359,albuterol 0.09 MG/ACTUAT [Proventil],Drug,RxNorm,true,mapped
Medications,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.1.1']/entry/substanceAdministration[1]/routeCode[1],C38216,2.16.840.1.113883.3.26.1.1,,RESPIRATORY (INHALATION),0,,,,false,no_vocab
Immunizations,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.2.1']/entry/substanceAdministration[1]/consumable/manufacturedProduct/manufacturedMaterial/code[1],88,2.16.840.1.113883.12.292,CVX,Influenza virus vaccine,0,,,,false,unmapped
VitalSigns,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.4.1']/entry/organizer/component/observation[1]/code[1],8302-2,2.16.840.1.113883.6.1,LOINC,Height,3036277,Body height,Measurement,LOINC,true,mapped
VitalSigns,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.4.1']/entry/organizer/component/observation[2]/code[1],3141-9,2.16.840.1.113883.6.1,LOINC,Weight,3013762,Body weight Measured,Measurement,LOINC,true,mapped
VitalSigns,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.4.1']/entry/organizer/component/observation[3]/code[1],39156-5,2.16.840.1.113883.6.1,LOINC,Body Mass Index Calculated,3038553,Body mass index (BMI) [Ratio],Measurement,LOINC,true,mapped
VitalSigns,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.4.1']/entry/organizer/component/observation[4]/code[1],8480-6,2.16.840.1.113883.6.1,LOINC,BP Systolic,3004249,Systolic blood pressure,Measurement,LOINC,true,mapped
VitalSigns,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.4.1']/entry/organizer/component/observation[5]/code[1],8462-4,2.16.840.1.113883.6.1,LOINC,BP Diastolic,3012888,Diastolic blood pressure,Measurement,LOINC,true,mapped
LabResults,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.3.1']/entry/organizer/component/observation[1]/code[1],2028-9,2.16.840.1.113883.6.1,LOINC,Carbon dioxide,3015632,"Carbon dioxide, total [Moles/volume] in Serum or Plasma",Measurement,LOINC,true,mapped
Allergies,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.6.1']/entry/act/entryRelationship/observation[1]/participant/participantRole/playingEntity/code[1],7982,2.16.840.1.113883.6.88,RxNorm,Penicillin G benzathine,19130393,penicillin G benzathine,Drug,RxNorm,false,mapped
Allergies,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.6.1']/entry/act/entryRelationship/observation[1]/entryRelationship/observation[templateId/@root='2.16.840.1.113883.10.20.22.4.9']/value[1],247472004,2.16.840.1.113883.6.96,SNOMED,hives,4082588,Wheal,Condition,SNOMED,true,mapped
Allergies,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.6.1']/entry/act/entryRelationship/observation[2]/participant/participantRole/playingEntity/code[1],2670,2.16.840.1.113883.6.88,RxNorm,Codeine,1201620,codeine,Drug,RxNorm,true,mapped
Allergies,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.6.1']/entry/act/entryRelationship/observation[2]/entryRelationship/observation[templateId/@root='2.16.840.1.113883.10.20.22.4.9']/value[1],422587007,2.16.840.1.113883.6.96,SNOMED,nausea,31967,Nausea,Condition,SNOMED,true,mapped
SocialHistory,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.17']/entry/observation[1]/code[1],ASSERTION,2.16.840.1.113883.5.4,,,0,,,,false,no_vocab
