Section,XPath,Source_Code,Source_CodeSystem_OID,Source_Vocabulary,Source_DisplayName,OMOP_Concept_ID,OMOP_Concept_Name,OMOP_Domain_ID,OMOP_Vocabulary_ID,Is_Standard,Mapping_Status
Problems,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.5.1']/entry/act/entryRelationship/observation/value,233604007,2.16.840.1.113883.6.96,SNOMED,Pneumonia,255848,Pneumonia,Condition,SNOMED,true,mapped
Problems,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.5.1']/entry/act/entryRelationship/observation/value,38341003,2.16.840.1.113883.6.96,SNOMED,Hypertension,316866,Hypertensive disorder,Condition,SNOMED,true,mapped
Problems,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.5.1']/entry/act/entryRelationship/observation/value,195967001,2.16.840.1.113883.6.96,SNOMED,Asthma,317009,Asthma,Condition,SNOMED,true,mapped
Medications,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.1.1']/entry/substanceAdministration/consumable/manufacturedProduct/manufacturedMaterial/code,1152108,2.16.840.1.113883.6.88,RxNorm,Ceftriaxone 2 grams IV,36217281,ceftriaxone Injectable Product,Drug,RxNorm,false,mapped
Medications,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.1.1']/entry/substanceAdministration/routeCode,C38276,2.16.840.1.113883.3.26.1.1,,INTRAVENOUS,0,,,,false,no_vocab
Medications,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.1.1']/entry/substanceAdministration/consumable/manufacturedProduct/manufacturedMaterial/code,1154602,2.16.840.1.113883.6.88,RxNorm,Albuterol Inhaled 2.5mg/3ml NEB,36215522,albuterol Inhalant Product,Drug,RxNorm,false,mapped
Immunizations,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.2.1']/entry/substanceAdministration/consumable/manufacturedProduct/manufacturedMaterial/code,88,2.16.840.1.113883.12.292,CVX,Influenza virus vaccine,2000000001,"influenza virus vaccine, unspecified formulation",Drug,CVX,true,mapped
LabResults,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.3.1']/entry/organizer/component/observation/code,2947-0,2.16.840.1.113883.6.1,LOINC,Na,3000285,Sodium [Moles/volume] in Blood,Measurement,LOINC,true,mapped
LabResults,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.3.1']/entry/organizer/component/observation/code,6298-4,2.16.840.1.113883.6.1,LOINC,K,3005456,Potassium [Moles/volume] in Blood,Measurement,LOINC,true,mapped
LabResults,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.3.1']/entry/organizer/component/observation/code,2069-3,2.16.840.1.113883.6.1,LOINC,Cl,3018572,Chloride [Moles/volume] in Blood,Measurement,LOINC,true,mapped
LabResults,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.3.1']/entry/organizer/component/observation/code,2028-9,2.16.840.1.113883.6.1,LOINC,CO2,3015632,"Carbon dioxide, total [Moles/volume] in Serum or Plasma",Measurement,LOINC,true,mapped
LabResults,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.3.1']/entry/organizer/component/observation/code,6299-2,2.16.840.1.113883.6.1,LOINC,BUN,3004295,Urea nitrogen [Mass/volume] in Blood,Measurement,LOINC,true,mapped
LabResults,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.3.1']/entry/organizer/component/observation/code,38483-4,2.16.840.1.113883.6.1,LOINC,Cr,3051825,Creatinine [Mass/volume] in Blood,Measurement,LOINC,true,mapped
LabResults,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.3.1']/entry/organizer/component/observation/code,2339-0,2.16.840.1.113883.6.1,LOINC,Glu,3000483,Glucose [Mass/volume] in Blood,Measurement,LOINC,true,mapped
LabResults,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.3.1']/entry/organizer/component/observation/code,6598-7,2.16.840.1.113883.6.1,LOINC,Troponin T,3019800,Troponin T.cardiac [Mass/volume] in Serum or Plasma,Measurement,LOINC,true,mapped
LabResults,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.3.1']/entry/organizer/component/observation/code,6598-7,2.16.840.1.113883.6.1,LOINC,Troponin T,3019800,Troponin T.cardiac [Mass/volume] in Serum or Plasma,Measurement,LOINC,true,mapped
Allergies,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.6.1']/entry/act/entryRelationship/observation/participant/participantRole/playingEntity/code,1191,2.16.840.1.113883.6.88,RxNorm,Aspirin,1112807,aspirin,Drug,RxNorm,true,mapped
Allergies,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.6.1']/entry/act/entryRelationship/observation/entryRelationship/observation[templateId/@root='2.16.840.1.113883.10.20.22.4.9']/value,247472004,2.16.840.1.113883.6.96,SNOMED,Hives,4082588,Wheal,Condition,SNOMED,true,mapped
Allergies,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.6.1']/entry/act/entryRelationship/observation/entryRelationship/observation[templateId/@root='2.16.840.1.113883.10.20.22.4.9']/value,112625008,2.16.840.1.113883.6.96,SNOMED,Rash,0,,,,false,unmapped
SocialHistory,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.17']/entry/observation/code,ASSERTION,2.16.840.1.113883.5.4,,Assertion,0,,,,false,no_vocab
Problems,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.5.1']/entry/act/entryRelationship/observation/value,194828000,2.16.840.1.113883.6.96,SNOMED,Angina,321318,Angina pectoris,Condition,SNOMED,true,mapped
Problems,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.5.1']/entry/act/entryRelationship/observation/value,190424003,2.16.840.1.113883.6.96,SNOMED,Type II Diabetes,0,,,,false,unmapped
Problems,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.5.1']/entry/act/entryRelationship/observation/value,13644009,2.16.840.1.113883.6.96,SNOMED,Hypercholesterolemia,4029305,Hypercholesterolemia,Condition,SNOMED,true,mapped
Medications,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.1.1']/entry/substanceAdministration/consumable/manufacturedProduct/manufacturedMaterial/code,284810,2.16.840.1.113883.6.88,RxNorm,"Insulin aspart, human 100",19005728,NovoLog,Drug,RxNorm,false,mapped
Medications,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.1.1']/entry/substanceAdministration/routeCode,C38299,2.16.840.1.113883.3.26.1.1,,SUBCUTANEOUS,0,,,,false,no_vocab
Medications,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.1.1']/entry/substanceAdministration/consumable/manufacturedProduct/manufacturedMaterial/code,261551,2.16.840.1.113883.6.88,RxNorm,Lantus insulin,19099465,Lantus,Drug,RxNorm,false,mapped
Medications,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.1.1']/entry/substanceAdministration/routeCode,C38299,2.16.840.1.113883.3.26.1.1,,SUBCUTANEOUS,0,,,,false,no_vocab
